Data As Of,Start Date,End Date,Group,Year,Month,State,Place of Death,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Total - All Places of Death,814819,6621187,734132,422294,9597,1134861,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,"Healthcare setting, inpatient",555551,2096143,557995,350048,6098,769176,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,"Healthcare setting, outpatient or emergency room",27395,392664,21088,9121,415,39756,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,"Healthcare setting, dead on arrival",779,18297,455,203,18,1049,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Decedent's home,65444,2214784,50041,17651,1795,98758,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Hospice facility,23785,400134,30889,11790,440,43305,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Nursing home/long term care facility,125452,1042155,61903,28327,679,159667,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Other,16303,455922,11684,5110,151,23006,
12/29/2021,01/01/2020,12/25/2021,By Total,,,United States,Place of death unknown,110,1088,77,44,1,144,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Total - All Places of Death,16186,126858,11332,5716,174,21953,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,"Healthcare setting, inpatient",12630,42506,9600,5138,131,17202,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,"Healthcare setting, outpatient or emergency room",577,9482,289,103,12,775,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,"Healthcare setting, dead on arrival",,176,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Decedent's home,1183,49303,542,193,21,1552,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Hospice facility,156,4653,293,64,,389,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Nursing home/long term care facility,1490,13620,516,188,,1821,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Other,141,7118,90,29,,204,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alabama,Place of death unknown,0,0,0,0,0,0,
12/29/2021,01/01/2020,12/25/2021,By Total,,,Alaska,Total - All Places of Death,1009,10337,909,603,11,1326,
